TimeStamp,PositionAfterStep,StepTime,SpeedAfterMove,DistanceAfterStep,StepNumber,AxisName
191.8332609325090000,9.2,0.002096601322406,95.9166304662544,9.2,46,Y
193.9071942966530000,9.4,0.002073933364144,96.9535971483266,9.4,47,Y
195.9591794226540000,9.6,0.002051985126001,97.9795897113271,9.6,48,Y
197.9898987322330000,9.8,0.002030719309579,98.9949493661166,9.8,49,Y
200.0000000000000000,10,0.002010101267767,100,10,50,Y
201.9900987672420000,10.2,0.001990098767242,100.995049383621,10.2,51,Y
203.9607805437110000,10.4,0.001970681776469,101.980390271856,10.4,52,Y
205.9126028197400000,10.6,0.001951822276029,102.95630140987,10.6,53,Y
207.8460969082650000,10.8,0.001933494088525,103.923048454133,10.8,54,Y
209.7617696340300000,11,0.001915672725765,104.880884817015,11,55,Y
211.6601048851670000,11.2,0.001898335251137,105.830052442584,11.2,56,Y
213.5415650406260000,11.4,0.001881460155459,106.770782520313,11.4,57,Y
215.4065922853800000,11.6,0.001865027244754,107.70329614269,11.6,58,Y
217.2556098240040000,11.8,0.001849017538624,108.627804912002,11.8,59,Y
219.0890230020660000,12,0.001833413178062,109.544511501033,12,60,Y
220.9072203437450000,12.2,0.001818197341679,110.453610171873,12.2,61,Y
222.7105745132010000,12.4,0.001803354169456,111.3552872566,12.4,62,Y
224.4994432064360000,12.6,0.001788868693235,112.249721603218,12.6,63,Y
226.2741699796950000,12.8,0.001774726773259,113.137084989848,12.8,64,Y
228.0350850198280000,13,0.001760915040133,114.017542509914,13,65,Y
229.7825058615210000,13.2,0.001747420841693,114.891252930761,13.2,66,Y
231.5167380558040000,13.4,0.001734232194283,115.758369027902,13.4,67,Y
233.2380757938120000,13.6,0.001721337738008,116.619037896906,13.6,68,Y
234.9468024894150000,13.8,0.001708726695603,117.473401244707,13.8,69,Y
236.6431913239850000,14,0.001696388834570,118.321595661992,14,70,Y
238.3275057562600000,14.2,0.001684314432275,119.16375287813,14.2,71,Y
240.0000000000000000,14.4,0.00167249424374,120,14.4,72,Y
241.6609194718910000,14.6,0.001660919471891,120.830459735946,14.6,73,Y
